City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Williston,48.147,-103.618,-5.01,59,0,4.14,US,2021-02-06 20:07
71,Codrington,-38.2667,141.9667,58.12,78,100,12.97,AU,2021-02-06 20:08
72,Khatanga,71.9667,102.5,-36.36,78,0,6.96,RU,2021-02-06 20:08
73,Nabire,-3.3667,135.4833,74.91,85,100,3.38,ID,2021-02-06 20:05
74,Tokur,53.1333,132.9,-25.15,87,82,3.2,RU,2021-02-06 20:08
75,Puerto Ayora,-0.7393,-90.3518,84.2,65,75,17.27,EC,2021-02-06 20:08
76,Barahona,18.2085,-71.1008,84.2,79,40,18.41,DO,2021-02-06 20:08
77,Padang,-0.9492,100.3543,73.4,88,40,2.3,ID,2021-02-06 20:08
78,Portland,45.5234,-122.6762,46.4,71,90,16.11,US,2021-02-06 20:06
79,Coihaique,-45.5752,-72.0662,77,31,75,4.61,CL,2021-02-06 20:03
80,Cayenne,4.9333,-52.3333,78.8,100,75,4.61,GF,2021-02-06 20:08
81,Cidreira,-30.1811,-50.2056,76.87,64,28,8.59,BR,2021-02-06 20:08
82,Arraial Do Cabo,-22.9661,-42.0278,71.6,94,90,6.91,BR,2021-02-06 20:05
83,Tiksi,71.6872,128.8694,-25.67,85,100,6.17,RU,2021-02-06 20:08
84,Faanui,-16.4833,-151.75,81.54,70,0,11.27,PF,2021-02-06 20:08
85,Madimba,-10.4,40.3333,80.6,89,40,8.05,TZ,2021-02-06 20:08
86,Qesarya,32.5189,34.9046,59,88,40,3.44,IL,2021-02-06 20:08
87,Sao Joao Da Barra,-21.6403,-41.0511,71.6,94,75,16.11,BR,2021-02-06 20:08
88,Saskylakh,71.9167,114.0833,-34.82,81,96,7.02,RU,2021-02-06 20:08
89,Ambon,-3.6954,128.1814,81.09,79,100,6.49,ID,2021-02-06 20:08
90,Namibe,-15.1961,12.1522,71.94,79,60,8.03,AO,2021-02-06 20:08
91,Tucuman,-26.8241,-65.2226,89.6,43,0,11.5,AR,2021-02-06 20:08
92,Ribeira Grande,38.5167,-28.7,60.8,88,75,21.85,PT,2021-02-06 20:08
93,Sitka,57.0531,-135.33,35.6,93,75,3.18,US,2021-02-06 20:08
94,Lompoc,34.6391,-120.4579,70,34,1,3.44,US,2021-02-06 20:08
95,Nikolskoye,59.7035,30.7861,10.4,72,75,15.66,RU,2021-02-06 20:08
96,San Rafael,-34.6177,-68.3301,91.13,20,0,11.95,AR,2021-02-06 20:08
97,Marathon,44.9,-89.7668,3,60,20,14.97,US,2021-02-06 20:08
98,Dikson,73.5069,80.5464,-29.43,86,86,10.78,RU,2021-02-06 20:08
99,Katobu,-4.9408,122.5276,75.65,95,100,1.3,ID,2021-02-06 20:08
100,Margate,51.3813,1.3862,42.01,90,100,7,GB,2021-02-06 20:08
101,Yeppoon,-23.1333,150.7333,77,73,90,1.92,AU,2021-02-06 20:08
102,Broome,42.2506,-75.833,30.2,31,1,14.97,US,2021-02-06 20:08
103,Nouadhibou,20.931,-17.0347,66.2,59,0,18.41,MR,2021-02-06 20:08
104,Butaritari,3.0707,172.7902,81.12,81,99,21.68,KI,2021-02-06 20:08
105,Bethel,41.3712,-73.414,41,30,1,13.8,US,2021-02-06 20:08
106,Yumen,40.2833,97.2,27.28,72,95,1.12,CN,2021-02-06 20:08
107,Flinders,-34.5833,150.8552,64,87,0,1.01,AU,2021-02-06 20:08
108,Pangnirtung,66.1451,-65.7125,14,79,75,4.61,CA,2021-02-06 20:08
109,Albany,42.6001,-73.9662,37.4,32,40,17.27,US,2021-02-06 20:05
110,Avera,33.194,-82.5271,48.2,53,90,4.61,US,2021-02-06 20:08
111,Salalah,17.0151,54.0924,75.2,69,40,8.05,OM,2021-02-06 20:08
112,Markova,48.6758,24.4138,26.26,97,100,4.85,UA,2021-02-06 20:08
113,Chuy,-33.6971,-53.4616,81.99,51,0,7.74,UY,2021-02-06 20:08
114,Mount Isa,-20.7333,139.5,75.2,94,90,8.05,AU,2021-02-06 20:08
115,Kambove,-10.8764,26.5969,65.16,96,100,3.51,CD,2021-02-06 20:08
116,Yulara,-25.2406,130.9889,75.2,31,0,10.36,AU,2021-02-06 20:08
117,Gatton,-27.55,152.2833,72,88,90,4.61,AU,2021-02-06 20:08
118,Acarau,-2.8856,-40.12,83.55,67,74,15.79,BR,2021-02-06 20:08
119,Chimore,-16.9833,-65.1333,86.16,58,98,0.98,BO,2021-02-06 20:08
120,Dawlatabad,36.4141,64.9053,51.21,53,96,2.48,AF,2021-02-06 20:08
121,Rantepao,-2.9701,119.8978,67.32,88,94,1.99,ID,2021-02-06 20:08
122,Kahului,20.8947,-156.47,72,60,20,4.61,US,2021-02-06 20:08
123,Qasigiannguit,68.8193,-51.1922,21.2,42,20,23.02,GL,2021-02-06 20:06
124,Casper,42.8666,-106.3131,15.8,73,1,11.5,US,2021-02-06 20:05
125,Lyuban,52.7985,28.0048,0.86,93,0,6.31,BY,2021-02-06 20:08
126,Port Macquarie,-31.4333,152.9167,69.8,100,90,6.91,AU,2021-02-06 20:08
127,Oum Hadjer,13.2954,19.6966,68.99,20,34,7.83,TD,2021-02-06 20:08
128,Thompson,55.7435,-97.8558,-27.4,56,75,16.11,CA,2021-02-06 20:08
129,Aykhal,66,111.5,-33.25,81,5,6.29,RU,2021-02-06 20:08
130,Hasaki,35.7333,140.8333,35.6,93,20,1.14,JP,2021-02-06 20:08
131,Mahebourg,-20.4081,57.7,78.8,83,20,3.44,MU,2021-02-06 20:08
132,Chapais,49.7834,-74.8492,17.6,62,90,14.97,CA,2021-02-06 20:08
133,Ust-Maya,60.4167,134.5333,-26.45,85,100,1.03,RU,2021-02-06 20:08
134,Luderitz,-26.6481,15.1594,71.26,56,0,26.91,NA,2021-02-06 20:08
135,Saint-Philippe,-21.3585,55.7679,79,83,75,3.44,RE,2021-02-06 20:08
136,Adrar,20.5022,-10.0711,61.88,32,100,9.04,MR,2021-02-06 20:08
137,Kamskiye Polyany,55.4307,51.4171,-0.4,85,90,20.13,RU,2021-02-06 20:08
138,Jamestown,42.097,-79.2353,23,53,1,21.85,US,2021-02-06 20:08
139,Karratha,-20.7377,116.8463,77.88,71,26,10.29,AU,2021-02-06 20:08
140,Umm Lajj,25.0213,37.2685,71.94,52,0,12.26,SA,2021-02-06 20:08
141,Sao Filipe,14.8961,-24.4956,70.63,73,81,14.79,CV,2021-02-06 20:08
142,Sioux Lookout,50.1001,-91.917,-13,58,90,14.97,CA,2021-02-06 20:08
143,Jian,27.1172,114.9793,54.77,86,0,3.76,CN,2021-02-06 20:08
144,Melfort,52.8667,-104.6177,-23.8,69,22,9.22,CA,2021-02-06 20:06
145,Polonnaruwa,7.9333,81,72.52,97,58,2.51,LK,2021-02-06 20:08
146,College,64.8569,-147.8028,-7.01,71,90,1.16,US,2021-02-06 20:08
147,Mangai,-4.05,19.5333,73.9,88,87,1.92,CD,2021-02-06 20:08
148,Tecoanapa,16.5167,-98.75,84.72,56,26,10.51,MX,2021-02-06 20:08
149,Saint-Pierre,-21.3393,55.4781,79,83,75,3.44,RE,2021-02-06 20:08
150,Hare Bay,48.8499,-54.0148,32,100,90,23.02,CA,2021-02-06 20:08
151,Aksehir,38.3575,31.4164,47.71,52,0,4.9,TR,2021-02-06 20:08
152,Constantine,36.365,6.6147,69.8,19,75,29.93,DZ,2021-02-06 20:04
153,Andilamena,-17.0167,48.5833,66.11,93,92,3.15,MG,2021-02-06 20:08
154,Aksu,41.1231,80.2644,26.01,87,0,2.98,CN,2021-02-06 20:08
155,Svetlogorsk,52.6333,29.7333,3.13,92,17,7.23,BY,2021-02-06 20:08
156,Yar-Sale,66.8333,70.8333,-31.11,84,100,15.1,RU,2021-02-06 20:08
157,Polovinnoye,54.7914,65.9864,32.61,97,100,13.85,RU,2021-02-06 20:08
158,Sandwick,60,-1.25,33.8,55,90,20.71,GB,2021-02-06 20:08
159,Broken Hill,-31.95,141.4333,62.6,67,59,14.97,AU,2021-02-06 20:08
160,Hilo,19.7297,-155.09,77,57,1,4.61,US,2021-02-06 20:06
161,Kaeo,-35.1,173.7833,64,87,100,1.01,NZ,2021-02-06 20:08
162,Baghdad,33.3406,44.4009,57.2,94,90,9.22,IQ,2021-02-06 20:06
163,Buraydah,26.326,43.975,50,100,75,5.75,SA,2021-02-06 20:08
164,Victoria,22.2855,114.1577,66,66,0,3.53,HK,2021-02-06 20:07
165,Constitucion,-35.3333,-72.4167,65.07,70,24,6.17,CL,2021-02-06 20:08
166,Bluff,-46.6,168.3333,55.36,79,5,4.23,NZ,2021-02-06 20:08
167,Aklavik,68.2191,-135.0107,-29.2,75,75,2.3,CA,2021-02-06 20:08
168,Grimmen,54.1121,13.0405,26.01,63,75,14.97,DE,2021-02-06 20:08
169,Ust-Karsk,52.7011,118.8077,-16.51,84,64,1.32,RU,2021-02-06 20:08
170,Touros,-5.1989,-35.4608,84.2,61,40,11.5,BR,2021-02-06 20:08
171,Pisco,-13.7,-76.2167,75.2,73,75,11.5,PE,2021-02-06 20:08
