City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chuy,UY,-33.6971,-53.4616,65.89,77,19,7.34,few clouds
80,Norman Wells,CA,65.282,-126.8329,-27.4,75,20,3.44,few clouds
81,Hobart,AU,-42.8794,147.3294,62.6,51,75,16.11,broken clouds
82,Bonavista,CA,48.6499,-53.1147,30.0,74,3,18.41,clear sky
83,Sitka,US,57.0531,-135.33,35.6,30,40,4.61,scattered clouds
84,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,16.11,few clouds
85,Punta Arenas,CL,-53.15,-70.9167,66.2,34,90,6.91,overcast clouds
86,Hay River,CA,60.8156,-115.7999,-31.0,61,100,4.61,overcast clouds
87,Busselton,AU,-33.65,115.3333,66.0,99,37,1.99,scattered clouds
88,Nautla,MX,20.2167,-96.7833,72.63,77,90,5.03,overcast clouds
89,Geraldton,AU,-28.7667,114.6,73.4,73,40,13.8,scattered clouds
90,Faya,SA,18.3851,42.4509,53.6,47,0,6.91,clear sky
91,Vidim,RU,56.4088,103.1106,11.03,95,91,6.55,overcast clouds
92,Doha,QA,25.2867,51.5333,66.2,68,0,8.05,clear sky
93,Young,UY,-32.6833,-57.6333,80.01,60,0,3.58,clear sky
94,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,75,13.8,snow
95,Dmitriyevka,RU,54.75,55.3333,-5.01,77,90,15.66,light snow
96,Kasongo-Lunda,CD,-6.4667,16.8167,72.55,82,100,2.21,overcast clouds
97,Esfahan,IR,32.6572,51.6776,35.6,93,0,4.5,mist
98,Port Macquarie,AU,-31.4333,152.9167,73.99,88,75,10.36,broken clouds
99,Sabinas,MX,27.85,-101.1167,68.99,39,100,11.07,overcast clouds
100,Faanui,PF,-16.4833,-151.75,81.79,75,2,12.3,clear sky
101,Lagoa,PT,39.05,-27.9833,57.61,78,0,17.83,clear sky
102,Kahului,US,20.8947,-156.47,78.8,50,20,12.66,few clouds
103,El Tigre,VE,8.8875,-64.2454,78.89,63,76,13.58,broken clouds
104,Mlonggo,ID,-6.5333,110.7,77.0,94,75,3.44,broken clouds
105,Ponta Do Sol,PT,32.6667,-17.1,57.99,74,70,5.01,broken clouds
106,Luanda,AO,-8.8368,13.2343,78.8,83,75,5.75,broken clouds
107,Brae,GB,60.3964,-1.353,31.55,89,91,3.33,overcast clouds
108,Lebu,CL,-37.6167,-73.65,58.86,94,100,0.92,overcast clouds
